Locality,Supply,Median_Price,Mean_Price,Price_Per_SqFt,Median_Area,Avg_BHK,Dominant_Type
"Ample Infra Tulsi Residency, Naroda, Ahmedabad",1,31.2,31.2,3095.24,1008.0,2.0,Apartment
"Amrapali Apartment, Bodakdev, Ahmedabad",1,70.0,70.0,7000.0,1000.0,2.0,Apartment
"Anamaya, Science City, Ahmedabad",1,359.0,359.0,11332.07,3168.0,4.0,Apartment
"Anand Apartment, Hathijan, Ahmedabad",3,17.0,17.266666666666666,2518.52,675.0,1.0,Apartment
"Anand Nagar Prahlad Nagar, Ahmedabad",1,68.0,68.0,5666.67,1200.0,2.0,Apartment
"Anand Sapphire, Gota, Ahmedabad",1,115.0,115.0,10849.06,1060.0,3.0,Apartment
"Anand Square, Tragad, Ahmedabad",1,80.0,80.0,5886.68,1359.0,2.0,Villa/Bungalow
"Anand Vihar, Chandkheda, Ahmedabad",2,47.5,47.5,5143.379999999999,925.0,2.0,Apartment
"Anand iLYF, Tragad, Ahmedabad",4,60.0,59.25,5355.530000000001,1116.0,2.0,Apartment
"Anantara Alpines, Thaltej, Ahmedabad",1,310.0,310.0,11923.08,2600.0,4.0,Apartment
"Ananya Residency, Thaltej Shilaj Road, Ahmedabad",1,110.0,110.0,5945.95,1850.0,3.0,Apartment
"Anjana Park, Ahmedabad",1,15.0,15.0,2192.98,684.0,1.0,Apartment
"Anjani Silver Spring , Bopal, Ahmedabad",4,115.0,112.35,7500.0,1625.0,3.0,Apartment
"Anjani Silver Spring , North Bopal, Ahmedabad",1,120.0,120.0,11650.49,1030.0,3.0,Apartment
"Anjney Aatman, Ambli Bopal Road, Ahmedabad",2,485.0,485.0,9703.08,4990.0,4.0,Apartment
"Ankur Tenament, Ahmedabad",1,28.0,28.0,4938.27,567.0,1.0,Apartment
"Anurag Tower, Usmanpura, Ahmedabad",1,165.0,165.0,8527.13,1935.0,3.0,Apartment
"Applewood Estate Satyesh Residency, Bopal, Ahmedabad",1,24.0,24.0,3715.17,646.0,1.0,Apartment
"Applewoods Sorrel Apartments, Sardar Patel Ring Road, Ahmedabad",2,76.0,76.0,5825.205,1366.5,3.0,Apartment
"Applewoods Sorrel Apartments, Sarkhej, Ahmedabad",1,75.0,75.0,6415.74,1169.0,3.0,Apartment
"Applewoods Sorrel Apartments, Shela, Ahmedabad",2,81.0,81.0,6380.705,1272.5,2.5,Apartment
"Applewoods Sorrel Apartments, South Bopal, Bopal, Ahmedabad",1,82.0,82.0,7130.43,1150.0,3.0,Apartment
"Aqua Polaris, Sardar Patel Ring Road, Ahmedabad",1,41.0,41.0,3734.06,1098.0,2.0,Apartment
"Arcadia 111, Chharodi, Ahmedabad",2,122.5,122.5,7379.03,1859.0,3.0,Apartment
"Arcus Aura, Yashkamal Society, Ahmedabad",1,127.0,127.0,11781.08,1078.0,3.0,Apartment
"Arihant Plaza, Ranip, Ahmedabad",1,55.0,55.0,11000.0,500.0,2.0,Villa/Bungalow
"Arise Ananta, Gota, Ahmedabad",1,88.5,88.5,6512.14,1359.0,2.0,Apartment
"Arise Ekant , Chandkheda, Ahmedabad",1,98.7,98.7,4666.67,2115.0,3.0,Apartment
"Arise Western, Science City, Ahmedabad",1,102.0,102.0,10793.65,945.0,3.0,Apartment
"Aristo Anandam 2, Tragad, Ahmedabad",2,87.5,87.5,4742.55,1845.0,3.0,Apartment
"Aristo Anantam, Chharodi, Ahmedabad",2,200.0,200.0,5824.71,3330.0,3.5,Apartment
"Arjun Exotica, CP Nagar 1, Ahmedabad",1,99.0,99.0,6707.32,1476.0,3.0,Apartment
"Arkiton Luxe, Bopal, Ahmedabad",1,84.0,84.0,8677.69,968.0,3.0,Apartment
"Armaan Nandanvan Heights, Narolgam, Ahmedabad",2,24.0,24.0,2541.76,949.5,1.5,Apartment
"Aroma Aakruti Elegance, Sarkhej Gandhinagar Highway, Ahmedabad",1,64.0,64.0,4904.21,1305.0,2.0,Apartment
"Aroma Aakruti Status, Lambha, Ahmedabad",1,25.5,25.5,4228.86,603.0,2.0,Apartment
"Aroma Kesar City, Changodar, Ahmedabad",3,15.0,15.200000000000001,2083.33,630.0,1.3333333333333333,Apartment
"Art Nirman Shree Vishnudhara Homes, Gota, Ahmedabad",1,50.0,50.0,5144.03,972.0,2.0,Apartment
"Arvind Aavishkaar, Naroda Road, Ahmedabad",2,41.5,41.5,6500.65,645.5,2.0,Apartment
"Arvind Citadel, Chimanlal Girdharlal Road, Ahmedabad",1,155.0,155.0,9579.73,1618.0,3.0,Apartment
"Arvind Megatrade, Naroda, Ahmedabad",1,48.0,48.0,9600.0,500.0,2.0,Apartment
"Aryaman Gracia, Chandkheda, Ahmedabad",1,52.0,52.0,4279.84,1215.0,2.0,Apartment
"Aryaman Gracia, Hiradhan City, Ahmedabad",1,58.0,58.0,4809.29,1206.0,2.0,Apartment
"Aryan Elegance, Paldi, Ahmedabad",1,121.0,121.0,6859.41,1764.0,3.0,Apartment
"Aryanparv Pratham Residency, Vejalpur, Jivraj park, Ahmedabad",3,38.0,45.0,4822.34,788.0,1.3333333333333333,Apartment
"Asha Kiran Tower, Vejalpur, Jivraj park, Ahmedabad",1,62.0,62.0,6888.89,900.0,2.0,Apartment
"Ashapura Samanvay Scintilla, South Bopal, Bopal, Ahmedabad",4,91.75,92.125,5397.055,1700.0,3.0,Apartment
"Ashapura Samanvay Skyview, Chandkheda, Ahmedabad",2,55.5,55.5,8030.610000000001,729.5,2.0,Apartment
"Ashapuri Residency, Vatva, Ahmedabad",1,19.0,19.0,2638.89,720.0,1.0,Apartment
